,mN,mA,mD,mY,mK,mR,mC,nn,aa,ww,gg,rr,cc,n0,r0
?,1,3627,508,3972,0,0,0,621,49,7,0,0,0,456,8
Category 10,0,1,0,391,0,0,0,2,389,0,0,0,0,1,0
Category 12,0,2465,0,2465,0,0,0,0,0,0,0,0,0,0,0
Category 13,5638,6186,3045,11534,0,0,0,1027,1147,26,0,0,0,1787,3
Category 14,0,0,0,280,0,0,0,0,0,0,0,0,0,280,0
Category 15,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Category 16,0,3127,661,3127,0,0,0,0,0,0,0,0,0,661,0
Category 17,3638,3379,976,7569,0,0,0,444,859,13,0,0,0,856,5
Category 19,5614,6241,3488,12761,0,0,0,1312,1801,27,0,1,0,1817,13
Category 2,2880,214,0,3867,0,0,0,215,2,1,0,0,0,215,2
Category 20,5044,6076,4134,12475,0,0,0,1413,1989,98,0,0,0,2385,46
Category 21,0,656,656,863,0,0,0,5,205,1,0,0,0,862,0
Category 22,1936,5574,2692,6008,0,0,0,650,309,11,0,0,0,895,3
Category 23,5969,6254,4102,13368,0,0,0,1492,2245,143,0,0,0,2120,53
Category 24,5257,6718,3730,13154,0,0,0,1610,1895,187,0,0,0,2121,14
Category 25,0,94,129,141,0,0,0,105,3,3,0,0,0,96,0
Category 26,3496,4350,3642,9800,0,0,0,1831,2338,390,0,5,0,2433,104
Category 27,150,0,150,150,0,0,0,0,150,0,0,0,0,0,0
Category 28,5262,6462,3478,12542,0,0,0,1498,1818,23,0,6,0,2191,18
Category 29,42,0,43,159,0,0,0,2,156,1,0,0,0,50,1
Category 3,2881,0,0,2881,0,0,0,0,0,0,0,0,0,0,0
Category 30,0,8,13,13,0,0,0,10,5,0,0,0,0,10,0
Category 31,3482,2472,27,6019,0,0,0,7,637,2,0,0,0,71,3
Category 32,4356,5311,3768,11386,0,0,0,1764,2112,160,0,3,0,2522,51
Category 33,0,2471,2,2489,0,0,0,8,6,16,0,0,0,6,1
Category 34,6014,6409,4250,13665,0,0,0,1439,2209,140,0,0,0,2015,6
Category 35,5085,5659,3230,11461,0,0,0,1038,1532,30,0,0,0,1828,7
Category 36,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Category 37,6093,5833,4578,13322,0,0,0,1531,2367,165,0,0,0,2454,39
Category 38,5337,5154,2694,9623,0,0,0,469,1189,3,0,0,0,1357,16
Category 4,2868,1,2,2871,0,0,0,1,0,0,0,0,0,3,0
Category 40,6329,6818,4437,13946,0,0,0,1328,2336,190,0,0,0,2341,32
Category 41,0,58,28,0,0,0,0,1,2,0,0,0,0,3,0
Category 42,2506,3364,2912,8231,0,0,0,1735,2067,283,0,7,0,2098,107
Category 43,5943,6788,4016,13432,0,0,0,1259,1812,41,0,0,0,2075,7
Category 44,3135,6208,4199,10351,0,0,0,968,1976,36,0,0,0,2349,30
Category 45,4235,4327,1996,11161,0,0,0,1167,1764,122,0,0,0,1823,16
Category 46,5412,5595,4043,12280,0,0,0,1877,2297,315,0,2,0,2577,95
Category 47,0,2,87,94,0,0,0,9,3,1,0,0,0,9,0
Category 48,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
Category 49,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0
Category 5,3440,2471,0,5911,0,0,0,0,622,0,0,0,0,0,0
Category 50,3499,3169,680,6669,0,0,0,10,625,25,0,0,0,672,11
Category 51,4594,6412,4213,11390,0,0,0,1093,1401,34,0,0,0,1458,6
Category 52,2872,0,0,3069,0,0,0,0,0,0,0,0,0,0,0
Category 53,5012,4893,4310,11711,0,0,0,1848,2606,481,0,1,0,2846,122
Category 54,3468,3195,81,7791,0,0,0,729,634,21,0,0,0,594,0
Category 55,490,645,1128,1165,0,0,0,274,286,45,0,0,0,224,10
Category 56,3,3131,231,5111,0,0,0,726,702,16,0,0,0,495,1
Category 57,6494,6528,4173,14459,0,0,0,1905,2547,204,0,0,0,2651,88
Category 58,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Category 59,0,8,1,791,0,0,0,1,6,1,0,0,0,2,7
Category 6,0,2925,0,2925,0,0,0,452,0,0,0,0,0,0,0
Category 61,6059,6736,4562,13645,0,0,0,1559,2140,59,0,0,0,2329,85
Category 62,2,1,51,54,0,0,0,1,2,3,0,0,0,40,0
Category 63,92,324,293,1592,0,0,0,80,488,0,0,0,0,174,0
Category 7,3708,267,189,5044,0,0,0,64,786,27,0,0,0,343,1
Category 8,3922,3214,770,8119,0,0,0,26,705,5,0,0,0,107,0
