,mN,mA,mD,mY,mK,mR,mC,nn,aa,ww,gg,rr,cc,n0,r0
?,6,5866,0,0,0,0,0,4185,1068,71,0,15,0,0,41
Category 10,0,20,0,0,0,0,0,21,754,0,0,0,0,0,0
Category 12,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
Category 13,6859,8438,0,0,0,0,0,5334,3089,328,0,2,0,1762,2
Category 14,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0
Category 15,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0
Category 16,0,1661,0,0,0,0,0,1545,0,0,0,0,0,0,0
Category 17,4895,4572,0,0,0,0,0,3083,2352,164,0,4,0,1705,2
Category 19,7163,8164,0,0,0,0,0,5562,3964,441,0,8,0,1878,23
Category 2,256,694,0,0,0,0,0,695,2,1,0,0,0,0,2
Category 20,5847,7092,0,0,0,0,0,5149,3783,821,0,65,0,1545,30
Category 21,0,1682,0,0,0,0,0,2116,430,1,0,0,0,0,0
Category 22,6073,7240,0,0,0,0,0,3612,2477,167,0,1,0,1287,2
Category 23,6860,7225,0,0,0,0,0,4376,3508,1053,0,93,0,1536,47
Category 24,6776,8223,0,0,0,0,0,5546,3784,943,0,20,0,1742,29
Category 25,0,695,0,0,0,0,0,927,759,3,0,0,0,0,0
Category 26,3415,3833,0,0,0,0,0,3006,2500,1175,0,91,0,821,49
Category 27,462,0,0,0,0,0,0,0,462,0,0,0,0,462,0
Category 28,6343,7511,0,0,0,0,0,5147,3429,423,0,24,0,1486,24
Category 29,220,0,0,0,0,0,0,252,1155,1,0,1,0,0,0
Category 3,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category 30,0,325,0,0,0,0,0,328,190,3,0,0,0,0,0
Category 31,1554,159,0,0,0,0,0,476,601,115,0,0,0,1109,8
Category 32,5194,5776,0,0,0,0,0,4985,4130,901,0,93,0,1517,29
Category 33,0,122,0,0,0,0,0,11,6,16,0,1,0,0,0
Category 34,6846,8285,0,0,0,0,0,5873,3964,603,0,1,0,1841,5
Category 35,5998,7412,0,0,0,0,0,5212,3568,300,0,2,0,1663,5
Category 36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Category 37,6842,6475,0,0,0,0,0,4798,4336,1066,0,51,0,1747,29
Category 38,6485,8046,0,0,0,0,0,4568,1741,3,0,17,0,1698,24
Category 4,3224,104,0,0,0,0,0,184,80,0,0,0,0,0,0
Category 40,6449,8400,0,0,0,0,0,5798,3660,894,0,49,0,1432,39
Category 41,0,3939,0,0,0,0,0,1078,749,0,0,0,0,0,0
Category 42,2554,2911,0,0,0,0,0,3307,3540,1275,0,90,0,787,76
Category 43,7108,7921,0,0,0,0,0,5151,3359,349,0,19,0,1824,2
Category 44,7065,8041,0,0,0,0,0,5418,4070,741,0,58,0,1824,1
Category 45,7282,7971,0,0,0,0,0,5291,3955,791,0,40,0,1882,15
Category 46,5615,5573,0,0,0,0,0,3912,3369,1092,0,113,0,1242,50
Category 47,0,35,0,0,0,0,0,130,15,33,0,0,0,0,0
Category 48,0,51,0,0,0,0,0,51,0,0,0,0,0,0,0
Category 49,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
Category 5,1320,122,0,0,0,0,0,0,0,0,0,0,0,1109,0
Category 50,1361,1965,0,0,0,0,0,1798,1,75,0,21,0,1111,0
Category 51,5198,8068,0,0,0,0,0,5222,3586,328,0,9,0,1298,2
Category 52,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category 53,5258,4657,0,0,0,0,0,3377,2904,1374,0,146,0,1132,81
Category 54,4323,5947,0,0,0,0,0,3477,51,45,0,0,0,1111,0
Category 55,6912,7430,0,0,0,0,0,4300,2567,146,0,3,0,1786,19
Category 56,4,5752,0,0,0,0,0,4081,2075,262,0,1,0,0,0
Category 57,6774,8121,0,0,0,0,0,5402,4167,1284,0,127,0,1482,70
Category 58,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
Category 59,0,36,0,0,0,0,0,39,27,17,0,0,0,0,19
Category 6,0,1671,0,0,0,0,0,1547,0,0,0,0,0,0,0
Category 61,7074,8214,0,0,0,0,0,4935,2797,604,0,66,0,1769,63
Category 62,5,1,0,0,0,0,0,625,51,6,0,0,0,0,0
Category 63,463,4101,0,0,0,0,0,1185,1319,0,0,0,0,463,0
Category 7,5014,4343,0,0,0,0,0,2128,752,159,0,0,0,1569,1
Category 8,6892,6882,0,0,0,0,0,2564,1042,170,0,0,0,1577,0
